sat,tothrs,colgpa,athlete,verbmath,hsize,hsrank,hsperc,female,while,black,hsizesq
1240,47,3.6500001,0,.79710001,5.3699999,31,5.7728119,0,1,0,28.836901
1090,113,3.6099999,0,.84745997,3.6400001,50,13.73626,1,1,0,13.2496
820,47,3.25,0,1.10256,6.3400002,68,10.72555,1,1,0,40.195599
940,16,3.8099999,0,.77358001,3.4200001,53,15.49708,0,1,0,11.6964
820,40,2.25,1,1.10256,5.71,344,60.245178,0,0,0,32.604099
970,39,2.4100001,1,.67241001,5.6599998,83,14.66431,0,1,0,32.035599
790,17,2.8199999,1,1.07895,5.9699998,72,12.0603,0,1,0,35.6409
1080,13,2.3,0,1.11765,.1,7,70,1,1,0,.0099999998
850,48,3.27,0,.80851001,3.0999999,54,17.419359,1,1,0,9.6099997
850,15,2.6600001,1,.80851001,.73000002,5,6.8493152,1,1,0,.53289998
820,95,2.26,1,.70832998,1.3099999,98,74.809158,0,1,0,1.7161
1120,12,2.3299999,1,.67163998,4.8800001,20,4.098361,0,1,0,23.8144
880,43,2.3699999,1,1.09524,4.0700002,70,17.19902,1,1,0,16.564899
1540,85,4,0,.97435999,2.3,1,.43478259,0,1,0,5.29
780,86,3.8099999,0,1,3.47,38,10.95101,0,1,0,12.0409
1280,55,3.8699999,0,1.03175,2.03,3,1.477833,1,1,0,4.1209002
1260,13,4,0,.75,2.1700001,5,2.304147,1,1,0,4.7089
830,83,1.95,1,.84443998,2,84,42,0,0,1,4
980,16,2.4300001,0,.68966001,.92000002,28,30.43478,0,1,0,.84640002
500,14,1.21,1,1.27273,4.5700002,329,71.991249,0,1,0,20.884899
1040,15,3,0,.96226001,3.6099999,31,8.5872574,0,1,0,13.0321
930,12,1.75,0,.82353002,3.25,26,8,1,0,0,10.5625
570,79,1.73,1,.96552002,3.24,187,57.716049,0,0,1,10.4976
820,13,1.84,0,.82222003,3.03,147,48.514851,1,1,0,9.1808996
1310,16,2.25,0,.95521998,4.6700001,122,26.124201,0,1,0,21.808901
770,15,2.1300001,0,.79070002,1,30,30,1,0,0,1
1180,18,3.77,0,.87301999,4.8000002,48,10,0,1,0,23.040001
1310,53,3.22,0,.92646998,3.2,30,9.375,0,1,0,10.24
1150,63,2.1700001,0,1.12963,3.02,64,21.192051,0,1,0,9.1204004
1130,113,2.77,0,.91525,1.66,33,19.87952,0,0,0,2.7556
1110,122,3.3599999,0,1.09434,2.04,9,4.4117651,1,1,0,4.1616001
1210,16,3.6199999,0,1.01667,2.9300001,14,4.7781572,0,1,0,8.5848999
1090,20,3.7,0,1.01852,1.87,6,3.2085559,1,1,0,3.4969001
1040,54,2,0,.82455999,3.55,82,23.098591,1,1,0,12.6025
1340,81,3.6900001,0,1.0303,1.11,15,13.51351,1,1,0,1.2321
900,76,1.75,0,.91488999,.86000001,16,18.60465,0,1,0,.7396
650,52,2.1900001,1,.80555999,2.0599999,57,27.669901,0,1,0,4.2435999
1190,77,3.4000001,0,.67606002,4.2399998,26,6.1320748,1,1,0,17.9776
990,16,1.4299999,0,.73684001,2.51,39,15.53785,1,1,0,6.3000998
1160,50,2.78,0,.73133999,3.72,79,21.236561,1,1,0,13.8384
1140,71,2.6099999,1,.58332998,2.4100001,24,9.9585066,0,1,0,5.8081002
1180,87,3.0899999,1,1.18519,4.6900001,36,7.6759062,0,1,0,21.996099
1120,49,2.8299999,0,.83607,.1,1,10,1,1,0,.0099999998
1010,15,1.9299999,0,.77192998,3.1900001,157,49.216301,1,1,0,10.1761
1160,113,2.8800001,0,.96609998,4.02,15,3.731343,0,1,0,16.1604
1200,16,3.3099999,0,1.10526,4.3200002,209,48.379631,1,1,0,18.662399
720,16,1.9299999,1,.94594997,4.3000002,230,53.488369,1,0,0,18.49
1190,36,2.4100001,0,.91935003,2.6099999,97,37.164749,0,1,0,6.8120999
970,14,2.9200001,0,.76363999,3.4100001,116,34.017601,1,1,0,11.6281
1210,17,3.52,0,.95161003,5.1100001,1,.1956947,1,1,0,26.112101
930,49,2.9300001,0,.72222,2,65,32.5,0,1,0,4
1000,74,2.28,0,.85184997,2.3599999,75,31.779659,0,1,0,5.5696001
970,42,1.95,0,.76363999,4.3299999,130,30.02309,0,1,0,18.748899
960,45,3.02,1,.88235003,.1,3,30,1,1,0,.0099999998
980,47,3.25,0,1.27907,.1,4,40,0,1,0,.0099999998
960,118,3.3199999,0,.92000002,2.26,96,42.477871,0,1,0,5.1076002
970,79,2.03,1,.73214,.1,3,30,0,1,0,.0099999998
960,79,2.3399999,0,1,.74000001,7,9.4594593,1,1,0,.54759997
1160,96,3.4100001,0,.93333,2.1199999,19,8.9622641,0,1,0,4.4944
1080,80,2.5599999,0,.6875,2.1199999,100,47.169811,0,1,0,4.4944
990,14,4,0,.80000001,3.05,3,.98360658,1,1,0,9.3024998
1130,18,1.33,0,.79364997,2.3499999,91,38.7234,1,1,0,5.5225
1060,12,2.25,0,.85965002,2.3499999,66,28.08511,0,1,0,5.5225
1060,15,2.5999999,0,.89286,2.3499999,44,18.7234,1,1,0,5.5225
1120,73,2.6300001,0,.77778,2.95,15,5.0847459,0,1,0,8.7025003
1030,17,2.5799999,0,.63492,2.78,59,21.223021,0,1,0,7.7284002
1070,48,3.04,0,.78333002,3.1500001,99,31.42857,0,1,0,9.9224997
910,13,2.76,0,.75,3.72,85,22.849461,0,1,0,13.8384
1100,108,1.95,0,1,3.73,188,50.402149,0,1,0,13.9129
1000,106,2.9200001,0,.78570998,3.73,127,34.04826,0,1,0,13.9129
1000,17,3.4100001,0,.75439,3.71,99,26.684641,0,1,0,13.7641
970,46,2.73,0,.67241001,4.0999999,113,27.56098,1,1,0,16.809999
1070,35,2.54,0,.55071998,6,62,10.33333,0,1,0,36
950,15,3.0599999,0,.66667002,2.8499999,24,8.4210529,0,1,0,8.1225004
1140,16,1.9299999,0,.86884999,2.1700001,34,15.6682,1,1,0,4.7089
1060,17,3.23,0,.89286,1.5599999,27,17.30769,0,1,0,2.4335999
940,50,2.54,1,.70908999,2.51,45,17.928289,0,1,0,6.3000998
960,48,2.22,0,.71429002,1,39,39,0,1,0,1
890,104,1.99,0,.93478,2.0999999,38,18.09524,0,1,0,4.4099998
1120,41,1.75,0,.89831001,3.28,152,46.341461,1,1,0,10.7584
1150,14,3.1400001,0,.82539999,.1,4,40,0,1,0,.0099999998
1270,107,3.24,0,.78873003,.1,4,40,0,1,0,.0099999998
1100,18,2,0,.83332998,.1,4,40,1,1,0,.0099999998
1150,14,2.5,0,.94915003,.1,5,50,0,1,0,.0099999998
1090,15,1.6,0,.91228002,1.5,79,52.666672,0,1,0,2.25
1220,110,3.05,0,.84847999,.1,5,50,1,1,0,.0099999998
1070,102,2.4100001,0,.75410002,.1,5,50,0,1,0,.0099999998
1030,15,2.73,0,1.01961,1.36,4,2.9411759,1,1,0,1.8496
980,49,2.9300001,0,.63332999,3.2,17,5.3125,0,1,0,10.24
930,44,2.5,0,.82353002,2.71,40,14.76015,1,1,0,7.3441
1030,43,2.6900001,0,.98076999,3.0799999,62,20.129869,1,1,0,9.4863997
1100,71,2.6099999,1,.80328,3.0599999,99,32.35294,0,1,0,9.3635998
1100,18,2.9400001,0,.92982,3.0999999,28,9.032258,0,1,0,9.6099997
1070,50,3.4400001,0,.91070998,1.78,10,5.6179781,0,1,0,3.1684
980,16,3.1199999,0,.75,2.27,21,9.2511005,0,1,0,5.1529002
1000,50,3.46,0,1.12766,1.78,23,12.92135,1,1,0,3.1684
1190,17,3.6400001,0,1.01695,1.78,40,22.47191,1,1,0,3.1684
1060,35,2.5699999,0,.65625,2.6099999,76,29.118771,0,0,0,6.8120999
1240,16,3.4300001,0,.85075003,2.9400001,41,13.94558,1,1,0,8.6436005
950,115,2.24,0,.86274999,2.1199999,70,33.018871,1,1,0,4.4944
1300,42,2.78,0,.66667002,2.6099999,142,54.406132,0,1,0,6.8120999
860,92,2.1300001,1,.45763001,2.74,110,40.145981,0,1,0,7.5075998
1010,94,2.6900001,0,.74137998,2.5599999,74,28.90625,0,1,0,6.5535998
1180,117,3.29,0,.76119,2.5599999,94,36.71875,1,1,0,6.5535998
1040,69,2.3099999,0,1,.1,4,40,1,1,0,.0099999998
1010,16,2.3099999,0,.74137998,1.95,36,18.46154,1,1,0,3.8025
1000,17,1.88,0,.85184997,1.96,35,17.85714,0,1,0,3.8415999
1030,17,2.47,0,.74576002,.1,3,30,0,1,0,.0099999998
1100,18,2.6600001,0,.92982,2.3599999,22,9.3220339,0,1,0,5.5696001
1240,92,2.77,0,.77143002,.57999998,16,27.58621,0,1,0,.3364
1110,45,3.77,1,.91378999,.47999999,20,41.666672,1,1,0,.2304
1070,14,1,0,.87718999,1.86,87,46.774189,0,1,0,3.4596
1040,47,2.02,0,.89091003,1.95,60,30.76923,0,1,0,3.8025
1290,93,3.4300001,0,1.08065,2.3099999,1,.4329004,1,1,0,5.3361001
1010,78,2.6900001,0,.83635998,2.3099999,36,15.58442,0,1,0,5.3361001
1080,50,3.7,0,.74194002,.50999999,8,15.68627,0,1,0,.26010001
1120,41,3.6800001,0,.62318999,3.4400001,8,2.3255811,1,1,0,11.8336
1210,49,1.97,0,.75362003,3.4400001,120,34.88372,0,1,0,11.8336
990,16,2.9300001,0,.98000002,4.0100002,94,23.441401,1,1,0,16.080099
1130,13,2.23,0,.73846,1.1,64,58.18182,0,1,0,1.21
840,16,2.1199999,1,.78723001,.47999999,32,66.666656,1,1,0,.2304
1050,45,3.6600001,0,.875,5.5,39,7.090909,1,1,0,30.25
1050,15,1.8,1,.75,6.1999998,266,42.903221,0,1,0,38.439999
1000,50,2.48,0,.88678998,5.5,117,21.27273,1,1,0,30.25
1020,81,2.97,0,1.37209,4.6300001,28,6.0475159,1,1,0,21.436899
960,48,1.7,0,.68421,5.5,163,29.63636,1,0,0,30.25
890,75,1.98,1,1.225,7.6799998,451,58.723961,1,1,0,58.982399
1320,16,4,0,.75999999,8.54,3,.35128811,0,1,0,72.931602
1140,32,3.3699999,0,.86884999,1.61,4,2.484472,1,1,0,2.5920999
1000,106,1.84,0,.72413999,1.52,41,26.97368,0,1,0,2.3104
1040,40,2.1500001,0,.76270998,1.61,89,55.279499,0,1,0,2.5920999
850,11,1.8099999,1,1.02381,1.79,153,85.474861,0,1,0,3.2040999
1050,116,3.5599999,0,.84210998,6,21,3.5,1,1,0,36
1140,14,2.0699999,0,.86884999,2.7,16,5.9259262,0,1,0,7.29
1120,73,2.23,0,.96490997,4.6300001,42,9.0712748,1,1,0,21.436899
1060,126,3.1099999,0,.92727,1.52,21,13.81579,1,1,0,2.3104
1090,18,2.72,0,.91228002,6.6100001,159,24.054461,0,1,0,43.692101
1080,70,2.1099999,0,1.25,.40000001,21,52.5,0,1,0,.16
1070,48,2.75,0,.94545001,5.1199999,70,13.67188,1,1,0,26.214399
1130,18,3.1600001,0,1.0545501,5.8400002,100,17.123289,0,1,0,34.105598
1410,49,3.6900001,0,.90540999,3.6099999,19,5.2631578,0,1,0,13.0321
1000,11,2.45,0,1.12766,3.9300001,73,18.57506,0,1,0,15.4449
1130,44,3.72,0,1.0178601,3.6099999,28,7.7562332,0,1,0,13.0321
1130,42,2.02,0,.85246003,3.6099999,60,16.620501,1,1,0,13.0321
1120,58,3.1300001,0,.96490997,3.53,29,8.2152977,1,1,0,12.4609
1180,17,2.76,0,.76119,2.75,4,1.454545,0,1,0,7.5625
1020,78,2.8699999,0,1.2173899,5.8000002,22,3.793103,1,1,0,33.639999
810,16,2.4300001,0,.92856997,6.4699998,69,10.66461,1,1,0,41.860901
940,15,3.0599999,0,.84314001,2.3399999,14,5.9829059,1,1,0,5.4755998
880,16,2.75,0,.83332998,3.21,51,15.88785,1,1,0,10.3041
910,52,2.46,1,.89582998,3.8599999,190,49.222801,0,0,1,14.8996
1490,106,4,0,.98667002,4,1,.25,1,1,0,16
1040,54,3.01,0,.76270998,4.3499999,35,8.0459766,0,1,0,18.922501
1220,55,3.3,0,.74286002,4.3499999,93,21.379311,0,1,0,18.922501
1140,47,3.4200001,0,.72727001,1.59,4,2.515723,1,1,0,2.5281
1170,16,3.4300001,0,.80000001,5.6100001,89,15.86453,0,1,0,31.472099
910,15,.60000002,1,.81999999,5.6300001,328,58.259331,0,1,0,31.696899
1290,45,3.71,0,.79167002,5.21,19,3.6468329,0,1,0,27.1441
1340,78,3.3800001,0,.78667003,4.9899998,4,.8016032,0,1,0,24.900101
1110,127,2.6199999,0,.65671998,3.4400001,99,28.77907,0,1,0,11.8336
1040,81,3.49,0,.92593002,3.2,20,6.25,0,1,0,10.24
1070,13,2.53,0,.67188001,.37,11,29.729731,0,1,0,.13689999
1200,18,3.77,0,1,3.25,7,2.153846,0,1,0,10.5625
950,90,2.6500001,0,.93878001,3.4000001,46,13.52941,0,1,0,11.56
1110,46,2.6700001,1,.79031998,.039999999,2,50,1,1,0,.0016
970,40,2.3499999,0,.90196002,4.54,140,30.837,0,1,0,20.611601
1090,83,2.6700001,0,.84745997,3.6400001,33,9.0659342,1,1,0,13.2496
960,35,2.05,0,.88235003,3.71,110,29.649599,1,1,0,13.7641
980,41,2.3099999,0,.84906,.1,6,60,1,1,0,.0099999998
1070,14,2.9200001,0,.87718999,3.6199999,61,16.85083,0,1,0,13.1044
1040,17,2.9400001,0,.82455999,1.27,7,5.5118108,0,1,0,1.6129
1170,73,3.28,1,.74627,4.6999998,127,27.02128,0,1,0,22.09
1010,18,2.72,0,.90565997,4.6700001,116,24.839399,0,1,0,21.808901
1110,15,2.9300001,0,1.09434,3.96,46,11.61616,1,1,0,15.6816
890,15,2.2,0,.97777998,3.96,100,25.252529,1,1,0,15.6816
950,97,2.4200001,0,.89999998,6.5,75,11.53846,0,1,0,42.25
780,14,2.8499999,1,.90244001,6.54,81,12.38532,1,0,0,42.771599
1230,97,2.1600001,0,1.01639,3.3900001,13,3.8348081,1,1,0,11.4921
1160,18,3.55,0,.93333,1.9400001,4,2.061856,1,1,0,3.7636001
1020,41,2.46,0,1.125,2.52,56,22.222219,1,1,0,6.3504
1200,84,2.26,0,.93548,.1,3,30,0,1,0,.0099999998
1230,46,3.47,0,.75713998,2.6800001,6,2.238806,0,1,0,7.1824002
1110,129,2.2,0,1.09434,.1,4,40,1,1,0,.0099999998
1250,38,2.3399999,0,.92308003,1.15,11,9.565217,0,1,0,1.3225
980,32,2.1800001,0,.78182,1.15,55,47.826092,0,1,0,1.3225
1100,80,3.0999999,0,.74602997,.94,44,46.80851,0,1,0,.8836
880,38,2,0,.69230998,2.54,116,45.669289,0,1,0,6.4516001
1050,57,2.9400001,0,.66667002,3.1600001,8,2.531646,0,1,0,9.9856005
910,117,3.03,0,.78430998,5,122,24.4,1,1,0,25
1140,46,3.3199999,0,.96552002,5.9400001,47,7.9124579,1,1,0,35.2836
990,83,3.1400001,0,1.25,5.6599998,8,1.4134279,0,1,0,32.035599
1130,42,2.76,0,.73846,5.9400001,209,35.185181,0,1,0,35.2836
1010,17,1.29,0,1.10417,6.8000002,252,37.058819,1,1,0,46.240002
1030,108,3.1099999,0,.90741003,5.4400001,52,9.5588236,1,1,0,29.593599
1070,50,2.1199999,0,.94545001,4.5999999,8,1.73913,1,1,0,21.16
900,29,2.72,0,.73076999,3.1099999,17,5.466238,1,1,0,9.6721001
1030,125,2.8199999,0,.98076999,4.4899998,33,7.3496661,0,1,0,20.160101
940,45,3.1099999,0,1.13636,2.1199999,7,3.301887,1,1,0,4.4944
1020,13,2.46,0,.67212999,4.4000001,61,13.86364,0,1,0,19.360001
980,76,3.01,0,.75,2.1300001,10,4.6948361,1,1,0,4.5369
1060,16,3.1800001,0,.96296,3.9300001,47,11.95929,0,1,0,15.4449
1160,80,3.5,0,.70587999,4.0300002,20,4.962779,0,1,0,16.2409
1210,17,2.7,0,.89063001,4.3499999,25,5.7471271,0,1,0,18.922501
1050,43,2.76,0,1.1875,2.5,32,12.8,1,1,0,6.25
1160,17,2.8800001,0,.84127003,4.9400001,94,19.028339,0,1,0,24.403601
850,83,3.6099999,0,.84783,1.73,26,15.0289,1,1,0,2.9928999
950,46,2.71,0,1.11111,.61000001,16,26.229509,1,1,0,.3721
940,16,2.4300001,0,.80769002,4.2800002,47,10.98131,1,1,0,18.318399
1040,81,3.2,0,1.03922,4.0100002,42,10.47382,1,1,0,16.080099
1090,114,3.02,0,.84745997,3.9400001,24,6.0913711,0,1,0,15.5236
1210,52,4,0,.80597001,4.48,6,1.339286,0,1,0,20.0704
1100,50,3.2,0,1.07547,1.24,1,.80645162,1,1,0,1.5376
1180,81,1.8200001,1,.87301999,3.21,167,52.024921,0,1,0,10.3041
750,41,1.41,0,.78570998,6.1500001,76,12.35772,0,0,0,37.822498
1280,80,3.76,0,.70666999,6.8600001,44,6.4139938,0,1,0,47.059601
940,16,2.6199999,0,1.35,.1,6,60,0,1,0,.0099999998
1010,15,1.9299999,0,.68333,.79000002,12,15.18987,1,1,0,.62410003
990,108,2.6900001,0,1.0625,1.74,71,40.8046,1,1,0,3.0276
990,16,1.5,0,.83332998,3.6099999,86,23.82271,0,1,0,13.0321
1010,90,3.1600001,0,.87036997,2.74,21,7.6642342,1,1,0,7.5075998
1130,78,3.1099999,0,.73846,2.1500001,20,9.3023252,1,1,0,4.6224999
970,47,3.29,0,.90196002,2.1300001,15,7.042253,1,1,0,4.5369
1050,18,2.9400001,0,1.1875,3.72,18,4.8387098,1,1,0,13.8384
1080,113,3.3099999,0,1,.60000002,12,20,0,1,0,.36000001
1050,16,2.9300001,0,.81033999,4.25,55,12.94118,0,1,0,18.0625
1000,50,3.28,0,.72413999,3.8,4,1.052632,1,1,0,14.44
1270,13,3.46,0,.84057999,6.6300001,20,3.0165911,0,1,0,43.956902
1160,18,2.27,0,.87097001,.37,17,45.94595,0,1,0,.13689999
930,10,1.5,0,.97872001,3.5999999,123,34.166672,1,1,0,12.96
1010,80,2.3099999,0,.68333,4,57,14.25,0,1,0,16
1010,16,3.6199999,0,.80356997,3.5999999,9,2.5,1,1,0,12.96
990,52,2.6900001,0,.80000001,4,5,1.25,1,1,0,16
540,92,1.91,1,.58824003,5.77,402,69.670708,0,0,1,33.2929
1050,45,2.53,0,.84210998,4.96,104,20.967739,0,1,0,24.601601
1150,82,3.6199999,0,.98276001,4.5799999,10,2.1834061,1,1,0,20.9764
1050,81,2.9000001,0,.69354999,4.1199999,21,5.0970869,0,1,0,16.9744
990,15,3.1300001,0,.94117999,1.09,23,21.10092,1,1,0,1.1881
1050,16,2.8699999,0,.66667002,4.8800001,56,11.47541,0,1,0,23.8144
1170,15,2.26,0,.98304999,3.9300001,84,21.37405,0,1,0,15.4449
930,43,3.48,1,1.02174,6.04,27,4.4701991,1,1,0,36.481602
1000,18,2.4400001,0,.92308003,4.4699998,80,17.897091,0,1,0,19.9809
1020,17,3.1700001,0,.75862002,3.3,12,3.636364,1,1,0,10.89
1160,87,3.0799999,0,1,3.5,10,2.8571429,1,1,0,12.25
1130,18,3.3800001,0,1.0178601,4.6700001,6,1.284797,1,1,0,21.808901
900,80,3.0599999,0,.73076999,3.5999999,7,1.9444439,1,1,0,12.96
870,78,2.75,0,.85105997,3.5999999,11,3.0555561,1,1,0,12.96
970,114,3.0599999,0,.97959,1.11,14,12.61261,0,0,0,1.2321
1090,63,2.5999999,0,.75805998,1.28,30,23.4375,0,1,0,1.6384
1040,39,3.1700001,0,.70491999,5.4000001,36,6.666667,1,1,0,29.16
1070,17,3.1700001,0,.69840997,6.0100002,84,13.97671,0,1,0,36.120098
810,44,2.3599999,1,1.025,5.1999998,214,41.153851,0,1,0,27.040001
1200,14,3.21,0,.73913002,6.3099999,43,6.81458,0,1,0,39.816101
1020,81,3.5899999,0,.82143003,5.0500002,17,3.3663371,1,1,0,25.502501
1230,110,2.8399999,0,1.0847501,4.4000001,45,10.22727,1,1,0,19.360001
1040,111,2.98,0,.92593002,7.5,220,29.33333,1,1,0,56.25
830,11,1.9,0,.84443998,7.3099999,271,37.072498,1,1,0,53.4361
1230,79,3.6500001,0,.75713998,2.5,3,1.2,0,1,0,6.25
1050,13,4,0,.90908998,.82999998,13,15.66265,1,1,0,.68889999
910,50,2.3599999,0,.97825998,3.7,116,31.351351,1,1,0,13.69
1070,44,3.52,0,.91070998,3.7,42,11.35135,1,1,0,13.69
1050,12,3.3299999,0,.75,3.7,30,8.1081095,1,1,0,13.69
1110,78,3.5,0,.58570999,3.21,23,7.1651092,0,1,0,10.3041
1170,112,2.72,0,.94999999,7.9000001,65,8.2278481,1,1,0,62.41
890,62,2.3499999,0,1.02273,7,150,21.42857,1,1,0,49
720,83,2.26,0,1.4,4.25,147,34.58823,1,1,0,18.0625
1170,15,3,0,.94999999,1.4400001,29,20.138889,0,1,0,2.0736001
1140,74,2.8599999,0,.89999998,3.54,8,2.259887,0,1,0,12.5316
1200,81,2.55,0,.84614998,4.8000002,38,7.916667,1,1,0,23.040001
1010,13,2.3800001,0,1.06122,4.0300002,35,8.6848631,1,1,0,16.2409
1330,46,4,0,.89999998,3.03,1,.330033,1,1,0,9.1808996
920,42,3.0699999,0,.87755001,3.03,20,6.6006598,0,1,0,9.1808996
1180,79,2.4100001,0,.78788,.31,2,6.4516129,0,1,0,.096100003
1000,47,3.4200001,0,.85184997,5.7399998,59,10.27875,1,1,0,32.947601
1140,15,2.8599999,0,.83871001,6.3499999,103,16.22047,1,1,0,40.322498
1130,50,3.78,0,.68656999,1.9400001,1,.51546389,0,1,0,3.7636001
1010,95,2.46,1,.94230998,4.5700002,123,26.91466,0,1,0,20.884899
930,50,1.88,1,1.02174,2.8800001,197,68.402779,0,1,0,8.2944002
1110,88,2.3699999,0,.88135999,2.9100001,30,10.30928,1,1,0,8.4680996
850,78,2.0699999,1,.93181998,5.3699999,234,43.57542,0,1,0,28.836901
1050,76,2.8800001,0,.69354999,5.6199999,23,4.0925269,0,0,0,31.5844
1080,15,2.8,0,.66153997,7.71,207,26.848249,0,1,0,59.444099
1240,49,3.6500001,0,.87879002,7.4499998,22,2.9530201,1,1,0,55.502499
1060,114,2.8699999,0,.76666999,6.3699999,192,30.141291,1,1,0,40.5769
1160,98,3.47,1,.93333,6.3699999,101,15.85557,1,1,0,40.5769
970,121,2.8299999,0,.61667001,6.3699999,65,10.20408,1,1,0,40.5769
1100,43,2.4100001,0,.89655,7.4499998,218,29.261749,0,1,0,55.502499
1060,41,3.8499999,0,1.12,7.4499998,260,34.89933,1,1,0,55.502499
790,47,2.46,0,.71739,2,7,3.5,1,1,0,4
880,11,1.09,0,.91303998,4.1700001,101,24.220619,0,1,0,17.388901
1000,45,3.28,0,1.17391,.52999997,16,30.188681,1,1,0,.2809
990,18,2.3800001,0,1.10638,3.3,60,18.18182,1,1,0,10.89
1040,13,2.3,0,.89091003,3.3,76,23.0303,0,1,0,10.89
1040,14,3.28,0,1.03922,2.0599999,12,5.825243,1,1,0,4.2435999
840,15,3,0,.71429002,3.3900001,58,17.10914,1,0,1,11.4921
1060,54,3.01,0,.60606003,2.8399999,24,8.4507046,1,1,0,8.0656004
950,72,2.3,0,1.15909,2.48,96,38.709679,1,1,0,6.1504002
1030,81,2.3299999,0,.83929002,2.48,19,7.6612902,1,1,0,6.1504002
920,17,3.4100001,0,.91667002,3.51,36,10.25641,1,1,0,12.3201
