COUNTRY,TFR,CONTRACP,LIFEML,LIFEFML,INFMORT,GDPPRCAP,ECNML,ECNFML,ILITML,ILITFML,EDUCML,EDUCFML
Indonesia,2.63,55.00,63.30,67.00,48.00,1019.00,84.80,51.30,10.40,22.00,10.4,9.5
Iraq,5.25,14.00,60.90,63.90,95.00,11308.00,74.00,10.30,29.30,55.00,9.4,7.1
Jamaica,2.44,62.00,72.40,76.80,12.00,1779.00,74.00,62.40,19.20,10.90,10.8,11.1
Japan,1.48,59.00,76.90,82.90,4.00,41718.00,77.70,50.00,,,14.2,13.8
Korea.Republic.of,1.65,79.00,68.80,76.00,9.00,9736.00,76.10,48.70,0.70,3.30,15.1,13.9
Kuwait,2.77,35.00,74.10,78.20,14.00,15757.00,80.10,34.30,17.80,25.10,8.9,9.1
Laos,6.69,19.00,52.00,55.00,86.00,359.00,,,30.60,55.60,8.2,5.7
Latvia,1.40,47.00,62.50,74.30,16.00,1764.00,69.80,51.50,0.20,0.30,11.1,11.7
Lesotho,4.86,23.00,57.30,59.90,72.00,486.00,,,18.90,37.70,7.6,9
Malawi,6.69,22.00,40.30,41.10,142.00,142.00,80.60,75.30,28.10,58.20,11,9.9
Mongolia,3.27,61.00,64.30,67.30,52.00,388.00,,,11.40,22.80,6.2,8.1
Netherlands,1.55,78.00,75.00,80.60,6.00,25635.00,81.10,60.20,,,15.7,15.2
New.Zealand,2.02,69.00,74.70,79.70,7.00,16866.00,74.40,56.20,,,16,16.7
Nicaragua,3.85,49.00,65.80,70.60,44.00,464.00,84.50,33.40,35.40,33.40,8.9,9.4
Norway,1.88,76.00,74.80,80.60,5.00,33734.00,76.80,65.90,,,14.7,15.2
Oman,7.20,9.00,68.90,73.30,25.00,6232.00,84.10,15.80,,,8.8,8.1
Paraguay,4.17,56.00,67.50,72.00,39.00,1860.00,85.70,26.10,6.50,9.40,9.2,9.1
Peru,2.98,64.00,65.90,70.90,45.00,2497.00,51.20,33.90,5.50,17.00,12.9,11.8
Philippines,3.62,40.00,66.60,70.20,35.00,1093.00,82.70,49.00,5.00,5.70,11,11
Portugal,1.48,66.00,71.80,78.90,8.00,10428.00,67.00,49.20,7.50,13.00,13.9,14.7
Qatar,3.77,32.00,70.00,75.40,17.00,14013.00,93.00,27.50,20.80,20.10,10.6,11.6
Romania,1.40,57.00,66.00,73.20,24.00,1570.00,72.70,57.40,1.10,3.10,11.5,11.4
Samoa,3.80,34.00,67.50,71.10,58.00,1106.00,77.30,40.20,1.85,1.66,11.4,11.7
South.Africa,3.81,50.00,62.30,68.30,48.00,3230.00,79.60,50.40,18.10,18.30,13,13.2
Spain,1.22,59.00,74.50,81.50,7.00,14111.00,63.10,37.00,1.80,3.90,15.1,15.9
Swaziland,4.46,20.00,57.70,62.30,65.00,1389.00,64.30,27.70,22.00,24.40,11.5,10.8
Sweden,1.80,78.00,76.20,80.80,5.00,26253.00,80.00,75.60,,,13.9,14.5
Switzerland,1.46,71.00,75.30,81.80,5.00,42416.00,78.50,56.80,,,14.5,13.5
Syria,4.00,36.00,66.70,71.20,33.00,3573.00,,,14.30,44.20,9.8,8.5
Trinidad.and.Tobago,2.10,53.00,71.50,76.20,14.00,4083.00,75.50,44.90,1.20,3.00,10.1,11.3
Turkey,2.50,63.00,66.50,71.70,44.00,2814.00,75.90,30.60,8.30,27.60,10.6,8.7
United.Kingdom,1.72,82.00,74.50,79.80,6.00,18913.00,71.90,53.50,,,16.1,16.6
United.States,1.96,71.00,73.40,80.10,7.00,26037.00,74.90,59.30,2.24,2.23,15.4,16.2
Venezuela,2.98,52.00,70.00,75.70,21.00,3496.00,82.10,41.20,8.20,9.70,10.2,10.7
Zambia,5.49,25.00,42.20,43.70,103.00,382.00,,,14.40,28.70,7.9,6.8
