SAT,TOTHRS,COLGPA,ATHLETE,VERBMATH,HSIZE,HSRANK,HSPERC,FEMALE,BLACK,WHITE
960,16,3.25,0,1.04255,0.1,5,50,1,0,1
910,15,2.86,0,1.45946,1.27,28,22.04725,0,0,1
1060,42,2.04,0,0.96296,0.13,1,7.692307,0,0,1
880,14,1.92,0,1.37838,0.03,1,33.33333,1,0,1
1010,17,3.58,0,0.94231,0.28,2,7.142857,1,0,1
700,38,2.39,1,1,0.32,22,68.75,0,0,1
930,15,3.46,0,0.86,3.72,67,18.01075,1,0,1
900,18,3.16,0,0.91489,2.54,69,27.16535,0,0,1
1090,29,1.03,0,0.91228,2.02,121,59.90099,0,0,1
1120,79,3,0,1.24,4.7,78,16.59575,1,0,0
960,15,2.33,1,0.77778,4.47,320,71.58836,0,1,0
890,37,2.45,1,0.78,1.24,50,40.32258,0,0,1
1240,47,3.65,0,0.7971,5.37,31,5.772812,0,0,1
1090,113,3.61,0,0.84746,3.64,50,13.73626,1,0,1
820,47,3.25,0,1.10256,6.34,68,10.72555,1,0,1
940,16,3.81,0,0.77358,3.42,53,15.49708,0,0,1
820,40,2.25,1,1.10256,5.71,344,60.24518,0,0,0
970,39,2.41,1,0.67241,5.66,83,14.66431,0,0,1
790,17,2.82,1,1.07895,5.97,72,12.0603,0,0,1
1080,13,2.3,0,1.11765,0.1,7,70,1,0,1
850,48,3.27,0,0.80851,3.1,54,17.41936,1,0,1
850,15,2.66,1,0.80851,0.73,5,6.849315,1,0,1
820,95,2.26,1,0.70833,1.31,98,74.80916,0,0,1
1120,12,2.33,1,0.67164,4.88,20,4.098361,0,0,1
880,43,2.37,1,1.09524,4.07,70,17.19902,1,0,1
1540,85,4,0,0.97436,2.3,1,0.4347826,0,0,1
780,86,3.81,0,1,3.47,38,10.95101,0,0,1
1280,55,3.87,0,1.03175,2.03,3,1.477833,1,0,1
1260,13,4,0,0.75,2.17,5,2.304147,1,0,1
830,83,1.95,1,0.84444,2,84,42,0,1,0
980,16,2.43,0,0.68966,0.92,28,30.43478,0,0,1
500,14,1.21,1,1.27273,4.57,329,71.99125,0,0,1
1040,15,3,0,0.96226,3.61,31,8.587257,0,0,1
930,12,1.75,0,0.82353,3.25,26,8,1,0,0
570,79,1.73,1,0.96552,3.24,187,57.71605,0,1,0
820,13,1.84,0,0.82222,3.03,147,48.51485,1,0,1
1310,16,2.25,0,0.95522,4.67,122,26.1242,0,0,1
770,15,2.13,0,0.7907,1,30,30,1,0,0
1180,18,3.77,0,0.87302,4.8,48,10,0,0,1
1310,53,3.22,0,0.92647,3.2,30,9.375,0,0,1
1150,63,2.17,0,1.12963,3.02,64,21.19205,0,0,1
1130,113,2.77,0,0.91525,1.66,33,19.87952,0,0,0
1110,122,3.36,0,1.09434,2.04,9,4.411765,1,0,1
1210,16,3.62,0,1.01667,2.93,14,4.778157,0,0,1
1090,20,3.7,0,1.01852,1.87,6,3.208556,1,0,1
1040,54,2,0,0.82456,3.55,82,23.09859,1,0,1
1340,81,3.69,0,1.0303,1.11,15,13.51351,1,0,1
900,76,1.75,0,0.91489,0.86,16,18.60465,0,0,1
650,52,2.19,1,0.80556,2.06,57,27.6699,0,0,1
1190,77,3.4,0,0.67606,4.24,26,6.132075,1,0,1
990,16,1.43,0,0.73684,2.51,39,15.53785,1,0,1
1160,50,2.78,0,0.73134,3.72,79,21.23656,1,0,1
1140,71,2.61,1,0.58333,2.41,24,9.958507,0,0,1
1180,87,3.09,1,1.18519,4.69,36,7.675906,0,0,1
1120,49,2.83,0,0.83607,0.1,1,10,1,0,1
1010,15,1.93,0,0.77193,3.19,157,49.2163,1,0,1
1160,113,2.88,0,0.9661,4.02,15,3.731343,0,0,1
1200,16,3.31,0,1.10526,4.32,209,48.37963,1,0,1
720,16,1.93,1,0.94595,4.3,230,53.48837,1,0,0
1190,36,2.41,0,0.91935,2.61,97,37.16475,0,0,1
970,14,2.92,0,0.76364,3.41,116,34.0176,1,0,1
1210,17,3.52,0,0.95161,5.11,1,0.1956947,1,0,1
930,49,2.93,0,0.72222,2,65,32.5,0,0,1
1000,74,2.28,0,0.85185,2.36,75,31.77966,0,0,1
970,42,1.95,0,0.76364,4.33,130,30.02309,0,0,1
960,45,3.02,1,0.88235,0.1,3,30,1,0,1
980,47,3.25,0,1.27907,0.1,4,40,0,0,1
960,118,3.32,0,0.92,2.26,96,42.47787,0,0,1
970,79,2.03,1,0.73214,0.1,3,30,0,0,1
960,79,2.34,0,1,0.74,7,9.459459,1,0,1
1160,96,3.41,0,0.93333,2.12,19,8.962264,0,0,1
1080,80,2.56,0,0.6875,2.12,100,47.16981,0,0,1
990,14,4,0,0.8,3.05,3,0.9836066,1,0,1
1130,18,1.33,0,0.79365,2.35,91,38.7234,1,0,1
1060,12,2.25,0,0.85965,2.35,66,28.08511,0,0,1
1060,15,2.6,0,0.89286,2.35,44,18.7234,1,0,1
1120,73,2.63,0,0.77778,2.95,15,5.084746,0,0,1
1030,17,2.58,0,0.63492,2.78,59,21.22302,0,0,1
1070,48,3.04,0,0.78333,3.15,99,31.42857,0,0,1
910,13,2.76,0,0.75,3.72,85,22.84946,0,0,1
1100,108,1.95,0,1,3.73,188,50.40215,0,0,1
1000,106,2.92,0,0.78571,3.73,127,34.04826,0,0,1
1000,17,3.41,0,0.75439,3.71,99,26.68464,0,0,1
970,46,2.73,0,0.67241,4.1,113,27.56098,1,0,1
1070,35,2.54,0,0.55072,6,62,10.33333,0,0,1
950,15,3.06,0,0.66667,2.85,24,8.421053,0,0,1
1140,16,1.93,0,0.86885,2.17,34,15.6682,1,0,1
1060,17,3.23,0,0.89286,1.56,27,17.30769,0,0,1
940,50,2.54,1,0.70909,2.51,45,17.92829,0,0,1
960,48,2.22,0,0.71429,1,39,39,0,0,1
890,104,1.99,0,0.93478,2.1,38,18.09524,0,0,1
1120,41,1.75,0,0.89831,3.28,152,46.34146,1,0,1
1150,14,3.14,0,0.8254,0.1,4,40,0,0,1
1270,107,3.24,0,0.78873,0.1,4,40,0,0,1
1100,18,2,0,0.83333,0.1,4,40,1,0,1
1150,14,2.5,0,0.94915,0.1,5,50,0,0,1
1090,15,1.6,0,0.91228,1.5,79,52.66667,0,0,1
1220,110,3.05,0,0.84848,0.1,5,50,1,0,1
1070,102,2.41,0,0.7541,0.1,5,50,0,0,1
1030,15,2.73,0,1.01961,1.36,4,2.941176,1,0,1
980,49,2.93,0,0.63333,3.2,17,5.3125,0,0,1
930,44,2.5,0,0.82353,2.71,40,14.76015,1,0,1
1030,43,2.69,0,0.98077,3.08,62,20.12987,1,0,1
1100,71,2.61,1,0.80328,3.06,99,32.35294,0,0,1
1100,18,2.94,0,0.92982,3.1,28,9.032258,0,0,1
1070,50,3.44,0,0.91071,1.78,10,5.617978,0,0,1
980,16,3.12,0,0.75,2.27,21,9.251101,0,0,1
1000,50,3.46,0,1.12766,1.78,23,12.92135,1,0,1
1190,17,3.64,0,1.01695,1.78,40,22.47191,1,0,1
1060,35,2.57,0,0.65625,2.61,76,29.11877,0,0,0
1240,16,3.43,0,0.85075,2.94,41,13.94558,1,0,1
950,115,2.24,0,0.86275,2.12,70,33.01887,1,0,1
1300,42,2.78,0,0.66667,2.61,142,54.40613,0,0,1
860,92,2.13,1,0.45763,2.74,110,40.14598,0,0,1
1010,94,2.69,0,0.74138,2.56,74,28.90625,0,0,1
1180,117,3.29,0,0.76119,2.56,94,36.71875,1,0,1
1040,69,2.31,0,1,0.1,4,40,1,0,1
1010,16,2.31,0,0.74138,1.95,36,18.46154,1,0,1
1000,17,1.88,0,0.85185,1.96,35,17.85714,0,0,1
1030,17,2.47,0,0.74576,0.1,3,30,0,0,1
1100,18,2.66,0,0.92982,2.36,22,9.322034,0,0,1
1240,92,2.77,0,0.77143,0.58,16,27.58621,0,0,1
1110,45,3.77,1,0.91379,0.48,20,41.66667,1,0,1
1070,14,1,0,0.87719,1.86,87,46.77419,0,0,1
1040,47,2.02,0,0.89091,1.95,60,30.76923,0,0,1
1290,93,3.43,0,1.08065,2.31,1,0.4329004,1,0,1
1010,78,2.69,0,0.83636,2.31,36,15.58442,0,0,1
1080,50,3.7,0,0.74194,0.51,8,15.68627,0,0,1
1120,41,3.68,0,0.62319,3.44,8,2.325581,1,0,1
1210,49,1.97,0,0.75362,3.44,120,34.88372,0,0,1
990,16,2.93,0,0.98,4.01,94,23.4414,1,0,1
1130,13,2.23,0,0.73846,1.1,64,58.18182,0,0,1
840,16,2.12,1,0.78723,0.48,32,66.66666,1,0,1
1050,45,3.66,0,0.875,5.5,39,7.090909,1,0,1
1050,15,1.8,1,0.75,6.2,266,42.90322,0,0,1
1000,50,2.48,0,0.88679,5.5,117,21.27273,1,0,1
1020,81,2.97,0,1.37209,4.63,28,6.047516,1,0,1
960,48,1.7,0,0.68421,5.5,163,29.63636,1,0,0
890,75,1.98,1,1.225,7.68,451,58.72396,1,0,1
1320,16,4,0,0.76,8.54,3,0.3512881,0,0,1
1140,32,3.37,0,0.86885,1.61,4,2.484472,1,0,1
1000,106,1.84,0,0.72414,1.52,41,26.97368,0,0,1
1040,40,2.15,0,0.76271,1.61,89,55.2795,0,0,1
850,11,1.81,1,1.02381,1.79,153,85.47486,0,0,1
1050,116,3.56,0,0.84211,6,21,3.5,1,0,1
1140,14,2.07,0,0.86885,2.7,16,5.925926,0,0,1
1120,73,2.23,0,0.96491,4.63,42,9.071275,1,0,1
1060,126,3.11,0,0.92727,1.52,21,13.81579,1,0,1
1090,18,2.72,0,0.91228,6.61,159,24.05446,0,0,1
1080,70,2.11,0,1.25,0.4,21,52.5,0,0,1
1070,48,2.75,0,0.94545,5.12,70,13.67188,1,0,1
1130,18,3.16,0,1.05455,5.84,100,17.12329,0,0,1
1410,49,3.69,0,0.90541,3.61,19,5.263158,0,0,1
1000,11,2.45,0,1.12766,3.93,73,18.57506,0,0,1
1130,44,3.72,0,1.01786,3.61,28,7.756233,0,0,1
1130,42,2.02,0,0.85246,3.61,60,16.6205,1,0,1
1120,58,3.13,0,0.96491,3.53,29,8.215298,1,0,1
1180,17,2.76,0,0.76119,2.75,4,1.454545,0,0,1
1020,78,2.87,0,1.21739,5.8,22,3.793103,1,0,1
810,16,2.43,0,0.92857,6.47,69,10.66461,1,0,1
940,15,3.06,0,0.84314,2.34,14,5.982906,1,0,1
880,16,2.75,0,0.83333,3.21,51,15.88785,1,0,1
910,52,2.46,1,0.89583,3.86,190,49.2228,0,1,0
1490,106,4,0,0.98667,4,1,0.25,1,0,1
1040,54,3.01,0,0.76271,4.35,35,8.045977,0,0,1
1220,55,3.3,0,0.74286,4.35,93,21.37931,0,0,1
1140,47,3.42,0,0.72727,1.59,4,2.515723,1,0,1
1170,16,3.43,0,0.8,5.61,89,15.86453,0,0,1
910,15,0.6,1,0.82,5.63,328,58.25933,0,0,1
1290,45,3.71,0,0.79167,5.21,19,3.646833,0,0,1
1340,78,3.38,0,0.78667,4.99,4,0.8016032,0,0,1
1110,127,2.62,0,0.65672,3.44,99,28.77907,0,0,1
1040,81,3.49,0,0.92593,3.2,20,6.25,0,0,1
1070,13,2.53,0,0.67188,0.37,11,29.72973,0,0,1
1200,18,3.77,0,1,3.25,7,2.153846,0,0,1
950,90,2.65,0,0.93878,3.4,46,13.52941,0,0,1
1110,46,2.67,1,0.79032,0.04,2,50,1,0,1
970,40,2.35,0,0.90196,4.54,140,30.837,0,0,1
1090,83,2.67,0,0.84746,3.64,33,9.065934,1,0,1
960,35,2.05,0,0.88235,3.71,110,29.6496,1,0,1
980,41,2.31,0,0.84906,0.1,6,60,1,0,1
1070,14,2.92,0,0.87719,3.62,61,16.85083,0,0,1
1040,17,2.94,0,0.82456,1.27,7,5.511811,0,0,1
1170,73,3.28,1,0.74627,4.7,127,27.02128,0,0,1
1010,18,2.72,0,0.90566,4.67,116,24.8394,0,0,1
1110,15,2.93,0,1.09434,3.96,46,11.61616,1,0,1
890,15,2.2,0,0.97778,3.96,100,25.25253,1,0,1
950,97,2.42,0,0.9,6.5,75,11.53846,0,0,1
780,14,2.85,1,0.90244,6.54,81,12.38532,1,0,0
1230,97,2.16,0,1.01639,3.39,13,3.834808,1,0,1
1160,18,3.55,0,0.93333,1.94,4,2.061856,1,0,1
1020,41,2.46,0,1.125,2.52,56,22.22222,1,0,1
1200,84,2.26,0,0.93548,0.1,3,30,0,0,1
1230,46,3.47,0,0.75714,2.68,6,2.238806,0,0,1
1110,129,2.2,0,1.09434,0.1,4,40,1,0,1
1250,38,2.34,0,0.92308,1.15,11,9.565217,0,0,1
980,32,2.18,0,0.78182,1.15,55,47.82609,0,0,1
1100,80,3.1,0,0.74603,0.94,44,46.80851,0,0,1
880,38,2,0,0.69231,2.54,116,45.66929,0,0,1
1050,57,2.94,0,0.66667,3.16,8,2.531646,0,0,1
910,117,3.03,0,0.78431,5,122,24.4,1,0,1
1140,46,3.32,0,0.96552,5.94,47,7.912458,1,0,1
990,83,3.14,0,1.25,5.66,8,1.413428,0,0,1
1130,42,2.76,0,0.73846,5.94,209,35.18518,0,0,1
1010,17,1.29,0,1.10417,6.8,252,37.05882,1,0,1
1030,108,3.11,0,0.90741,5.44,52,9.558824,1,0,1
1070,50,2.12,0,0.94545,4.6,8,1.73913,1,0,1
900,29,2.72,0,0.73077,3.11,17,5.466238,1,0,1
1030,125,2.82,0,0.98077,4.49,33,7.349666,0,0,1
940,45,3.11,0,1.13636,2.12,7,3.301887,1,0,1
1020,13,2.46,0,0.67213,4.4,61,13.86364,0,0,1
980,76,3.01,0,0.75,2.13,10,4.694836,1,0,1
1060,16,3.18,0,0.96296,3.93,47,11.95929,0,0,1
1160,80,3.5,0,0.70588,4.03,20,4.962779,0,0,1
1210,17,2.7,0,0.89063,4.35,25,5.747127,0,0,1
1050,43,2.76,0,1.1875,2.5,32,12.8,1,0,1
1160,17,2.88,0,0.84127,4.94,94,19.02834,0,0,1
850,83,3.61,0,0.84783,1.73,26,15.0289,1,0,1
950,46,2.71,0,1.11111,0.61,16,26.22951,1,0,1
940,16,2.43,0,0.80769,4.28,47,10.98131,1,0,1
1040,81,3.2,0,1.03922,4.01,42,10.47382,1,0,1
1090,114,3.02,0,0.84746,3.94,24,6.091371,0,0,1
1210,52,4,0,0.80597,4.48,6,1.339286,0,0,1
1100,50,3.2,0,1.07547,1.24,1,0.8064516,1,0,1
1180,81,1.82,1,0.87302,3.21,167,52.02492,0,0,1
750,41,1.41,0,0.78571,6.15,76,12.35772,0,0,0
1280,80,3.76,0,0.70667,6.86,44,6.413994,0,0,1
940,16,2.62,0,1.35,0.1,6,60,0,0,1
1010,15,1.93,0,0.68333,0.79,12,15.18987,1,0,1
990,108,2.69,0,1.0625,1.74,71,40.8046,1,0,1
990,16,1.5,0,0.83333,3.61,86,23.82271,0,0,1
1010,90,3.16,0,0.87037,2.74,21,7.664234,1,0,1
1130,78,3.11,0,0.73846,2.15,20,9.302325,1,0,1
970,47,3.29,0,0.90196,2.13,15,7.042253,1,0,1
1050,18,2.94,0,1.1875,3.72,18,4.83871,1,0,1
1080,113,3.31,0,1,0.6,12,20,0,0,1
1050,16,2.93,0,0.81034,4.25,55,12.94118,0,0,1
1000,50,3.28,0,0.72414,3.8,4,1.052632,1,0,1
1270,13,3.46,0,0.84058,6.63,20,3.016591,0,0,1
1160,18,2.27,0,0.87097,0.37,17,45.94595,0,0,1
930,10,1.5,0,0.97872,3.6,123,34.16667,1,0,1
1010,80,2.31,0,0.68333,4,57,14.25,0,0,1
1010,16,3.62,0,0.80357,3.6,9,2.5,1,0,1
990,52,2.69,0,0.8,4,5,1.25,1,0,1
540,92,1.91,1,0.58824,5.77,402,69.67071,0,1,0
1050,45,2.53,0,0.84211,4.96,104,20.96774,0,0,1
1150,82,3.62,0,0.98276,4.58,10,2.183406,1,0,1
1050,81,2.9,0,0.69355,4.12,21,5.097087,0,0,1
990,15,3.13,0,0.94118,1.09,23,21.10092,1,0,1
1050,16,2.87,0,0.66667,4.88,56,11.47541,0,0,1
1170,15,2.26,0,0.98305,3.93,84,21.37405,0,0,1
930,43,3.48,1,1.02174,6.04,27,4.470199,1,0,1
1000,18,2.44,0,0.92308,4.47,80,17.89709,0,0,1
1020,17,3.17,0,0.75862,3.3,12,3.636364,1,0,1
1160,87,3.08,0,1,3.5,10,2.857143,1,0,1
1130,18,3.38,0,1.01786,4.67,6,1.284797,1,0,1
900,80,3.06,0,0.73077,3.6,7,1.944444,1,0,1
870,78,2.75,0,0.85106,3.6,11,3.055556,1,0,1
970,114,3.06,0,0.97959,1.11,14,12.61261,0,0,0
1090,63,2.6,0,0.75806,1.28,30,23.4375,0,0,1
1040,39,3.17,0,0.70492,5.4,36,6.666667,1,0,1
1070,17,3.17,0,0.69841,6.01,84,13.97671,0,0,1
810,44,2.36,1,1.025,5.2,214,41.15385,0,0,1
1200,14,3.21,0,0.73913,6.31,43,6.81458,0,0,1
1020,81,3.59,0,0.82143,5.05,17,3.366337,1,0,1
1230,110,2.84,0,1.08475,4.4,45,10.22727,1,0,1
1040,111,2.98,0,0.92593,7.5,220,29.33333,1,0,1
830,11,1.9,0,0.84444,7.31,271,37.0725,1,0,1
1230,79,3.65,0,0.75714,2.5,3,1.2,0,0,1
1050,13,4,0,0.90909,0.83,13,15.66265,1,0,1
910,50,2.36,0,0.97826,3.7,116,31.35135,1,0,1
1070,44,3.52,0,0.91071,3.7,42,11.35135,1,0,1
1050,12,3.33,0,0.75,3.7,30,8.108109,1,0,1
1110,78,3.5,0,0.58571,3.21,23,7.165109,0,0,1
1170,112,2.72,0,0.95,7.9,65,8.227848,1,0,1
890,62,2.35,0,1.02273,7,150,21.42857,1,0,1
720,83,2.26,0,1.4,4.25,147,34.58823,1,0,1
1170,15,3,0,0.95,1.44,29,20.13889,0,0,1
1140,74,2.86,0,0.9,3.54,8,2.259887,0,0,1
1200,81,2.55,0,0.84615,4.8,38,7.916667,1,0,1
1010,13,2.38,0,1.06122,4.03,35,8.684863,1,0,1
1330,46,4,0,0.9,3.03,1,0.330033,1,0,1
920,42,3.07,0,0.87755,3.03,20,6.60066,0,0,1
1180,79,2.41,0,0.78788,0.31,2,6.451613,0,0,1
1000,47,3.42,0,0.85185,5.74,59,10.27875,1,0,1
1140,15,2.86,0,0.83871,6.35,103,16.22047,1,0,1
1130,50,3.78,0,0.68657,1.94,1,0.5154639,0,0,1
1010,95,2.46,1,0.94231,4.57,123,26.91466,0,0,1
930,50,1.88,1,1.02174,2.88,197,68.40278,0,0,1
1110,88,2.37,0,0.88136,2.91,30,10.30928,1,0,1
850,78,2.07,1,0.93182,5.37,234,43.57542,0,0,1
1050,76,2.88,0,0.69355,5.62,23,4.092527,0,0,0
1080,15,2.8,0,0.66154,7.71,207,26.84825,0,0,1
1240,49,3.65,0,0.87879,7.45,22,2.95302,1,0,1
1060,114,2.87,0,0.76667,6.37,192,30.14129,1,0,1
1160,98,3.47,1,0.93333,6.37,101,15.85557,1,0,1
970,121,2.83,0,0.61667,6.37,65,10.20408,1,0,1
1100,43,2.41,0,0.89655,7.45,218,29.26175,0,0,1
1060,41,3.85,0,1.12,7.45,260,34.89933,1,0,1
790,47,2.46,0,0.71739,2,7,3.5,1,0,1
880,11,1.09,0,0.91304,4.17,101,24.22062,0,0,1
1000,45,3.28,0,1.17391,0.53,16,30.18868,1,0,1
990,18,2.38,0,1.10638,3.3,60,18.18182,1,0,1
1040,13,2.3,0,0.89091,3.3,76,23.0303,0,0,1
1040,14,3.28,0,1.03922,2.06,12,5.825243,1,0,1
840,15,3,0,0.71429,3.39,58,17.10914,1,1,0
1060,54,3.01,0,0.60606,2.84,24,8.450705,1,0,1
950,72,2.3,0,1.15909,2.48,96,38.70968,1,0,1
1030,81,2.33,0,0.83929,2.48,19,7.66129,1,0,1
920,17,3.41,0,0.91667,3.51,36,10.25641,1,0,1
1220,111,3.76,0,0.90625,1.74,5,2.873563,1,0,1
750,15,1.06,0,0.875,0.1,4,40,1,0,1
900,58,3.2,0,0.875,0.1,2,20,0,1,0
800,46,1.8,0,1.10526,2.56,23,8.984375,1,1,0
880,17,2.35,0,1.04651,0.1,4,40,1,0,1
870,14,3.5,1,0.77551,0.1,2,20,1,1,0
910,108,3.29,0,0.93617,2.3,7,3.043478,1,0,1
880,18,2.05,0,0.83333,1.36,92,67.64706,0,0,1
1100,49,2.97,1,0.86441,1.72,137,79.65116,0,0,1
1180,74,2.51,0,0.90323,1.7,97,57.05882,0,0,1
1210,18,0.55,0,0.92063,0.1,3,30,0,0,1
1100,47,2.06,0,1.15686,0.05,3,60,0,0,1
1180,17,3.29,0,0.93443,2.94,7,2.380952,1,0,1
1070,45,2.33,0,0.72581,3.46,86,24.85549,1,0,1
1020,44,2.22,0,0.96154,3.46,151,43.64162,1,0,1
1030,110,2.87,0,0.74576,2.55,69,27.05882,1,0,1
1060,64,2.85,0,0.96296,3.4,130,38.23529,0,0,1
1030,18,3.27,0,0.87273,3.37,37,10.97923,0,0,1
1080,96,2.71,0,1,2.47,115,46.5587,0,0,1
1100,38,2.02,0,1.03704,0.71,58,81.69014,0,0,1
1080,102,2.3,0,0.83051,2.61,81,31.03448,0,0,1
850,16,2.56,0,0.84783,2.21,94,42.53394,1,0,1
1040,45,2.64,0,0.82456,2.04,56,27.45098,0,0,1
1070,17,3.47,0,0.84483,3.83,8,2.088773,0,1,0
850,16,1.56,0,1.07317,3.55,15,4.225352,1,1,0
730,111,2.29,0,0.92105,2.61,43,16.4751,1,0,1
1040,50,2.72,0,0.85714,0.4,32,80,0,0,1
1130,89,2.53,0,0.98246,2.07,2,0.9661836,1,1,0
1200,113,3.91,0,0.81818,2.4,3,1.25,1,0,1
1360,52,3.78,0,0.97101,2.37,3,1.265823,0,0,1
700,15,2.6,1,0.79487,2.38,102,42.85714,0,1,0
1120,117,3.11,0,0.83607,0.38,6,15.78947,1,0,1
700,98,2,0,0.89189,0.92,37,40.21739,0,1,0
960,73,2.21,0,0.92,2.9,25,8.620689,1,0,1
950,81,3.32,0,0.82692,1.61,15,9.316771,1,0,1
750,74,2.44,1,0.97368,2.15,68,31.62791,0,0,1
990,46,3.52,0,0.90385,0.1,1,10,1,1,0
950,79,1.86,0,0.75926,2.06,74,35.92233,0,0,1
1130,71,2.15,0,1.01786,1.3,12,9.230769,1,0,1
980,14,2,1,0.75,1.9,42,22.10526,0,0,1
800,15,2,0,0.73913,1.9,30,15.78947,1,0,1
1280,54,3.38,0,0.72973,2.4,6,2.5,1,0,1
1070,106,2.4,0,0.55072,0.1,2,20,0,0,1
1170,53,3.47,0,0.69565,0.1,3,30,0,0,0
970,83,2.38,0,0.94,0.1,4,40,0,0,1
1130,16,3.62,0,0.79365,2.4,6,2.5,1,0,1
860,44,2.86,0,0.65385,2.7,55,20.37037,0,0,1
1060,80,3.17,0,1,0.1,2,20,1,0,1
1090,51,2.64,0,0.75806,0.1,1,10,0,0,1
850,96,2.07,0,0.88889,1.34,14,10.44776,0,1,0
1120,18,2.27,0,1.15385,2.15,63,29.30233,1,0,1
960,16,2.93,0,1.08696,2.16,59,27.31482,1,0,1
1270,17,3.76,0,0.89552,3.15,1,0.3174603,0,0,1
1130,126,3.15,0,0.94828,3.25,5,1.538462,1,1,0
1110,120,3.11,0,0.94737,1.99,5,2.512563,0,0,1
830,15,2.46,0,0.88636,3.72,71,19.08602,1,0,1
1150,13,2.61,0,0.88525,3.72,89,23.92473,0,0,1
1210,17,2.76,0,0.86154,2.9,17,5.862069,1,0,1
870,108,2.22,1,0.74,3.02,67,22.18543,0,1,0
1010,131,2.9,0,0.77193,1.28,13,10.15625,0,0,1
990,123,2.67,0,0.73684,1.28,8,6.25,1,0,1
1080,92,2.28,0,1.29787,2.34,99,42.30769,0,0,1
1150,43,3.53,0,0.91667,2.51,13,5.179283,1,0,1
1100,46,2.86,0,0.86441,0.1,1,10,0,1,0
940,16,1.87,0,1.04348,0.1,2,20,1,1,0
1360,52,3.98,0,0.78947,2.83,1,0.3533569,0,0,1
820,46,2.52,0,0.95238,0.1,2,20,1,1,0
760,13,1.07,0,0.85366,0.1,3,30,1,1,0
680,107,2.04,1,0.61905,0.91,13,14.28571,1,1,0
880,47,2.21,0,1.04651,1.48,36,24.32432,1,0,1
1170,45,2.71,0,0.74627,0.1,2,20,1,0,1
1220,42,2.76,1,0.67123,0.1,3,30,0,0,0
1020,16,2.87,0,0.82143,0.1,1,10,1,0,1
910,14,2.5,0,0.71698,0.1,2,20,1,0,1
1090,89,3.12,0,1.0566,0.1,2,20,1,0,1
990,80,3.13,0,1.02041,0.1,3,30,1,0,1
910,43,2.86,0,0.71698,0.1,3,30,0,0,1
1120,17,2.11,0,0.83607,0.1,4,40,1,0,1
1090,35,1.8,0,0.91228,0.1,3,30,0,0,1
1090,10,3,0,0.98182,0.1,1,10,1,0,1
